"Reference","Value","MPN"
"DZ1","1V8","MMSZ4678T1G"
"DZ2","1V8","MMSZ4678T1G"
"FF1","500m/ FF","7000140.0.5"
"FH1","503.400","503.400"
"H1","MountingHole",""
"H2","MountingHole",""
"H3","MountingHole_Pad",""
"H4","MountingHole_Pad",""
"J1","~","TE-1-726388-2"
"J2","~","TE-1-726388-2"
"J3","~","TE-1-726388-2"
"J4","Conn_01x03",""
"R1","300R","RC0603FR-07300R"
"R2","0R","RC0603FR-070R"
"R5","0R",""
"R6","0R",""
"RV1","18V","MCVZ0603M180AGT"
"T1","TA1310-03","TA1310-03"
